tinh,huyen,xa,m9c8,m9c9a,m9c9b,m9c9c,m9c10,m9c11
103,21,17,4,2,7.0,6.0,1.0,1.0
103,21,17,6,3,1.0,2.0,2.0,1.0
103,21,17,8,3,4.0,7.0,,
103,21,25,1,2,1.0,6.0,9.0,2.0
103,21,25,4,2,1.0,6.0,9.0,0.6
103,21,25,6,1,2.0,6.0,9.0,0.6
103,21,25,7,2,1.0,0.0,9.0,0.6
103,21,25,8,1,2.0,7.0,9.0,
103,21,35,1,1,2.0,3.0,1.0,3.0
103,21,43,1,1,2.0,0.0,1.0,1.0
103,21,43,3,1,2.0,8.0,1.0,2.0
103,21,43,4,8,6.0,7.0,,1.0
103,21,43,6,8,3.0,5.0,,1.0
103,21,43,7,2,1.0,0.0,2.0,10.0
103,21,43,8,8,7.0,6.0,,
103,21,51,1,1,0.0,,1.0,2.0
103,21,51,6,2,0.0,,1.0,0.0
103,21,51,8,2,0.0,,1.0,
104,01,17,1,2,3.0,8.0,2.0,7.0
104,01,17,3,2,3.0,8.0,2.0,7.0
104,01,17,6,2,3.0,8.0,2.0,7.0
104,02,13,1,2,5.0,6.0,2.0,3.0
104,02,13,4,2,5.0,6.0,2.0,3.0
104,03,11,1,1,2.0,5.0,1.0,10.0
104,03,11,4,1,2.0,5.0,1.0,1.0
104,03,11,6,1,2.0,5.0,1.0,1.0
104,03,11,8,1,3.0,4.0,1.0,
104,03,29,1,1,2.0,5.0,1.0,2.5
104,03,29,3,1,2.0,0.0,1.0,0.5
104,03,29,4,2,5.0,0.0,1.0,0.1
104,03,29,8,2,5.0,0.0,1.0,
104,03,33,1,2,0.0,,1.0,7.0
104,03,33,4,2,0.0,,1.0,0.5
104,03,33,8,2,0.0,,1.0,
104,03,43,1,1,2.0,5.0,1.0,4.0
104,03,43,4,5,0.0,,,0.5
104,03,43,6,2,5.0,0.0,1.0,0.5
104,03,43,8,2,5.0,0.0,1.0,
104,03,53,1,1,2.0,0.0,1.0,10.0
104,03,53,4,2,0.0,,1.0,0.5
104,03,53,8,2,0.0,,1.0,
104,03,61,1,1,2.0,6.0,2.0,7.0
104,03,61,4,1,2.0,3.0,2.0,0.5
104,03,61,6,3,6.0,0.0,,0.5
104,03,61,8,3,5.0,6.0,,
104,03,69,1,1,2.0,3.0,2.0,10.0
104,03,69,4,1,2.0,4.0,2.0,0.5
104,03,69,6,1,2.0,4.0,2.0,0.5
104,03,69,8,1,2.0,3.0,2.0,
104,03,75,1,1,2.0,3.0,2.0,10.0
104,03,75,4,1,2.0,5.0,2.0,0.5
104,03,75,6,3,5.0,6.0,,0.5
104,03,75,8,3,5.0,6.0,,
104,04,01,1,2,4.0,1.0,1.0,1.0
104,04,01,8,3,4.0,5.0,,
104,04,09,3,1,2.0,3.0,2.0,16.0
104,05,17,1,1,2.0,3.0,2.0,5.0
104,05,17,3,1,2.0,3.0,2.0,20.0
104,05,17,6,1,2.0,3.0,1.0,0.5
104,05,17,8,1,2.0,3.0,1.0,
104,05,29,1,1,2.0,3.0,2.0,2.0
104,05,29,3,1,2.0,3.0,2.0,4.0
104,05,29,4,1,2.0,3.0,1.0,0.0
104,05,29,8,1,2.0,3.0,2.0,
104,05,43,1,1,2.0,3.0,2.0,3.0
104,05,43,3,2,1.0,3.0,2.0,1.0
104,05,43,4,2,1.0,7.0,2.0,5.0
104,05,43,6,2,3.0,4.0,2.0,1.0
104,05,43,8,1,3.0,4.0,2.0,
104,05,45,1,2,1.0,3.0,2.0,10.0
104,05,45,3,2,1.0,3.0,2.0,10.0
104,05,45,4,1,2.0,8.0,2.0,6.0
104,05,45,6,2,7.0,0.0,2.0,1.0
104,05,45,8,1,3.0,4.0,2.0,
104,06,03,1,1,2.0,3.0,1.0,15.0
104,06,03,4,1,2.0,0.0,1.0,0.0
104,06,03,6,1,2.0,3.0,1.0,0.0
104,06,03,7,1,2.0,3.0,1.0,0.0
104,06,03,8,1,2.0,3.0,1.0,
104,06,09,1,1,2.0,0.0,1.0,7.0
104,06,21,1,1,2.0,0.0,1.0,4.0
104,06,21,4,1,6.0,0.0,1.0,6.0
104,07,03,4,2,0.0,,1.0,0.2
104,07,03,6,2,0.0,,1.0,0.2
104,07,09,1,2,3.0,0.0,1.0,7.0
104,07,09,6,3,0.0,,,1.0
104,07,09,8,3,0.0,,,
104,07,19,1,2,0.0,,1.0,1.0
104,07,19,2,2,0.0,,1.0,1.0
104,07,19,4,2,0.0,,1.0,1.0
104,07,19,6,2,0.0,,1.0,1.0
104,07,19,8,3,0.0,,,
104,07,29,1,2,0.0,,2.0,4.0
104,07,29,3,2,0.0,,2.0,0.2
104,07,47,2,2,0.0,,2.0,0.1
104,07,47,3,2,0.0,,2.0,5.0
104,07,53,1,2,0.0,,1.0,7.0
104,07,53,3,2,0.0,,1.0,7.0
104,09,09,1,2,1.0,5.0,2.0,2.0
104,09,09,3,2,1.0,4.0,1.0,2.0
104,09,09,4,2,1.0,4.0,1.0,0.5
104,09,09,8,3,8.0,0.0,,
104,09,13,1,2,6.0,0.0,2.0,1.0
104,09,13,3,2,0.0,,2.0,0.5
104,09,13,4,2,0.0,,1.0,0.2
104,09,13,6,2,1.0,0.0,2.0,1.0
104,09,13,8,5,4.0,0.0,,
104,09,15,1,2,1.0,6.0,2.0,5.0
104,09,15,3,2,1.0,0.0,2.0,1.0
104,09,15,6,2,0.0,,1.0,-1.0
104,09,15,8,4,5.0,8.0,,
104,09,21,1,2,5.0,6.0,1.0,20.0
104,09,21,3,2,5.0,0.0,1.0,5.0
104,09,21,4,2,1.0,0.0,1.0,1.0
104,09,21,6,2,1.0,0.0,1.0,-1.0
104,09,27,1,1,2.0,3.0,2.0,5.0
104,09,27,3,1,2.0,3.0,2.0,2.0
104,09,27,4,1,2.0,3.0,2.0,5.0
104,09,27,6,1,2.0,3.0,1.0,1.0
104,09,27,7,2,1.0,0.0,2.0,2.0
104,09,27,8,3,5.0,8.0,,
104,09,33,1,1,2.0,8.0,2.0,25.0
104,09,33,3,1,2.0,8.0,2.0,9.0
104,09,33,4,1,2.0,8.0,1.0,9.0
104,09,33,6,1,2.0,8.0,2.0,-1.0
104,09,33,7,1,2.0,8.0,2.0,-1.0
104,09,33,8,1,2.0,8.0,1.0,
104,11,17,1,1,2.0,4.0,2.0,0.5
104,11,17,6,4,2.0,0.0,2.0,-1.0
104,11,17,8,5,8.0,0.0,,
104,11,23,1,1,3.0,0.0,2.0,0.5
104,11,23,3,1,2.0,0.0,2.0,0.5
104,11,23,6,3,5.0,0.0,,0.2
104,11,23,8,3,5.0,0.0,,
104,11,25,1,2,4.0,0.0,2.0,2.0
104,11,25,2,2,4.0,0.0,2.0,1.0
104,11,25,4,2,4.0,0.0,2.0,1.0
104,11,25,8,3,0.0,,,
104,11,31,1,1,2.0,0.0,1.0,5.0
104,11,31,3,1,2.0,0.0,1.0,0.5
104,11,31,6,1,2.0,0.0,1.0,1.0
104,11,31,8,1,2.0,0.0,1.0,
105,01,17,1,2,0.0,,2.0,2.0
105,01,17,6,3,0.0,,,0.0
105,01,23,1,2,0.0,,2.0,1.0
105,01,23,3,2,1.0,0.0,2.0,1.0
105,01,23,8,2,1.0,0.0,2.0,
105,01,29,1,1,2.0,8.0,2.0,6.0
105,01,29,3,1,2.0,8.0,2.0,0.0
105,01,29,4,1,2.0,8.0,2.0,0.0
105,03,13,1,1,2.0,3.0,1.0,7.0
105,03,13,3,1,2.0,3.0,1.0,0.0
105,03,13,8,1,2.0,3.0,1.0,
105,03,21,1,1,3.0,6.0,2.0,4.0
105,05,03,1,1,2.0,0.0,1.0,5.0
105,05,03,6,8,0.0,,,0.0
105,05,03,8,8,0.0,,,
105,05,15,1,1,0.0,,1.0,7.0
105,05,15,4,1,0.0,,1.0,2.0
105,05,15,8,3,0.0,,,
105,05,23,1,2,0.0,,2.0,8.0
105,05,23,8,5,3.0,2.0,2.0,
105,05,31,1,2,1.0,6.0,2.0,3.0
105,05,31,5,2,3.0,0.0,1.0,0.0
105,05,31,6,2,1.0,3.0,2.0,0.0
105,05,31,8,3,4.0,8.0,,
105,05,35,1,2,3.0,8.0,1.0,2.0
105,05,35,8,3,4.0,0.0,,
105,05,43,1,1,3.0,2.0,1.0,5.0
105,05,59,1,1,0.0,,1.0,15.0
105,05,59,3,3,0.0,,,0.5
105,05,59,8,1,0.0,,1.0,
105,07,09,1,1,2.0,3.0,1.0,2.0
105,07,09,3,1,2.0,3.0,1.0,2.0
105,07,09,4,6,1.0,2.0,2.0,2.0
105,07,09,5,6,7.0,3.0,,0.0
105,07,09,8,6,7.0,3.0,,
105,07,19,1,2,1.0,7.0,2.0,3.0
105,07,19,3,2,3.0,6.0,2.0,0.0
105,07,19,4,6,2.0,7.0,1.0,0.0
105,07,19,5,5,3.0,7.0,,0.0
105,07,19,6,7,2.0,1.0,2.0,0.0
105,07,19,8,3,7.0,8.0,,
105,07,31,1,1,2.0,6.0,1.0,0.5
105,07,31,3,2,7.0,3.0,1.0,2.0
105,07,31,4,1,2.0,6.0,1.0,0.5
105,07,31,6,7,6.0,2.0,2.0,0.5
105,07,31,8,3,7.0,4.0,,
105,07,39,1,9,0.0,,,5.0
105,07,39,3,9,2.0,0.0,1.0,0.2
105,07,39,6,9,7.0,1.0,2.0,0.0
105,07,39,8,3,7.0,1.0,2.0,
105,09,13,1,1,0.0,,2.0,3.0
105,09,13,3,1,0.0,,2.0,0.5
105,09,13,6,1,0.0,,2.0,0.5
105,09,23,8,3,0.0,,,
105,09,27,1,1,6.0,4.0,2.0,1.5
105,09,27,3,1,6.0,4.0,2.0,0.5
105,09,27,6,6,7.0,4.0,,1.0
105,09,27,8,6,7.0,4.0,,
105,09,29,1,8,0.0,,,5.0
105,09,29,4,8,0.0,,,1.0
105,09,29,8,8,0.0,,,
105,11,07,1,2,0.0,,1.0,3.0
105,11,15,1,8,0.0,,,10.0
105,11,15,3,8,0.0,,,10.0
105,11,15,6,8,0.0,,,0.0
105,11,23,1,2,0.0,,1.0,2.0
105,11,33,1,2,0.0,,2.0,0.5
105,11,33,3,2,0.0,,2.0,0.5
105,11,33,8,2,0.0,,2.0,
105,13,07,1,2,0.0,,2.0,2.0
105,13,07,3,2,0.0,,2.0,0.5
105,13,07,4,6,0.0,,,0.3
105,13,07,6,2,0.0,,2.0,0.0
105,13,07,7,2,0.0,,2.0,0.0
105,13,07,8,3,0.0,,,
105,13,11,1,2,3.0,4.0,2.0,0.0
105,13,11,6,2,0.0,,2.0,0.0
105,13,15,1,2,1.0,0.0,2.0,1.0
105,13,15,3,4,0.0,,,1.0
105,13,15,6,3,4.0,0.0,,1.0
105,13,15,8,4,3.0,0.0,,
105,13,17,1,1,2.0,6.0,2.0,0.2
105,13,17,3,2,8.0,0.0,2.0,1.0
105,13,17,6,8,0.0,,,1.0
105,13,17,8,8,0.0,,,
105,13,23,3,1,2.0,6.0,2.0,2.0
105,13,23,6,7,0.0,,,0.0
105,13,23,8,8,0.0,,,
105,13,35,1,8,0.0,,,0.5
105,13,35,3,2,8.0,0.0,2.0,12.0
105,13,35,4,1,0.0,,2.0,12.0
105,13,35,6,8,0.0,,,1.0
105,13,35,7,4,0.0,,,1.0
105,13,35,8,8,0.0,,,
105,15,13,1,2,6.0,0.0,1.0,1.0
105,15,23,1,1,2.0,0.0,1.0,1.0
105,15,23,3,1,2.0,0.0,2.0,1.0
105,15,23,6,1,0.0,,2.0,0.0
105,15,29,1,1,2.0,3.0,2.0,4.0
105,15,29,6,3,1.0,0.0,2.0,1.0
105,15,29,8,1,2.0,0.0,2.0,
105,17,13,1,2,6.0,0.0,2.0,2.0
105,17,13,3,2,3.0,0.0,2.0,2.0
105,17,13,4,2,4.0,0.0,2.0,0.0
105,17,21,1,2,0.0,,2.0,3.0
105,17,21,3,2,0.0,,2.0,0.3
105,17,21,4,2,0.0,,2.0,0.0
105,17,21,6,8,0.0,,,0.0
105,17,21,7,8,0.0,,,0.0
105,17,21,8,8,0.0,,,
105,17,31,1,2,0.0,,1.0,7.0
105,17,31,3,2,0.0,,1.0,5.0
105,17,31,4,2,0.0,,1.0,0.0
105,17,39,1,2,0.0,,1.0,4.0
105,17,39,3,3,0.0,,,4.0
105,17,39,4,2,0.0,,1.0,0.0
105,17,47,1,2,0.0,,2.0,0.0
105,17,47,3,2,0.0,,2.0,7.0
105,17,47,4,2,0.0,,1.0,0.0
105,17,47,6,8,0.0,,,0.0
105,17,47,8,8,0.0,,,
105,17,59,1,2,0.0,,2.0,15.0
105,17,59,3,2,0.0,,2.0,15.0
105,17,59,4,6,0.0,,,0.0
105,19,13,1,1,2.0,3.0,1.0,8.0
105,19,13,3,2,0.0,,2.0,3.0
105,19,13,4,2,6.0,0.0,2.0,3.0
105,19,13,8,2,3.0,7.0,2.0,
105,19,21,1,2,3.0,0.0,2.0,7.0
105,19,21,3,1,2.0,0.0,1.0,0.0
105,19,21,4,6,7.0,0.0,,7.0
105,19,21,8,2,3.0,0.0,2.0,
105,19,27,1,2,1.0,0.0,1.0,2.0
105,19,27,8,2,0.0,,2.0,
105,19,39,1,2,1.0,6.0,2.0,3.0
105,19,39,5,2,5.0,0.0,2.0,1.0
105,19,39,6,2,0.0,,2.0,1.0
105,19,39,8,3,7.0,0.0,,
105,19,47,1,2,1.0,0.0,2.0,5.0
105,19,47,6,2,0.0,,2.0,1.0
105,21,07,1,1,0.0,,2.0,15.0
105,21,07,2,3,0.0,,,10.0
105,21,15,1,2,0.0,,1.0,5.0
105,21,15,3,2,0.0,,2.0,5.0
105,21,27,1,1,0.0,,1.0,8.0
105,21,27,4,1,0.0,,1.0,8.0
105,21,37,1,2,4.0,0.0,2.0,7.0
105,21,37,3,2,4.0,0.0,2.0,7.0
105,21,37,8,2,4.0,0.0,2.0,
105,21,45,1,2,3.0,4.0,1.0,12.0
105,21,45,3,2,3.0,4.0,1.0,0.0
105,21,55,1,2,4.0,0.0,2.0,13.0
105,21,55,3,2,4.0,0.0,2.0,13.0
105,23,03,1,3,5.0,1.0,2.0,20.0
105,23,03,6,2,6.0,8.0,2.0,20.0
105,23,03,8,3,7.0,0.0,,
105,23,19,1,1,2.0,3.0,1.0,6.0
105,23,19,3,1,6.0,0.0,2.0,6.0
105,23,19,4,1,6.0,0.0,2.0,6.0
105,23,29,1,1,2.0,3.0,2.0,2.0
105,23,29,3,3,6.0,7.0,,0.0
105,23,29,6,2,7.0,0.0,2.0,0.0
105,23,29,8,6,7.0,3.0,,
105,23,37,1,1,2.0,8.0,1.0,4.0
105,23,37,8,1,2.0,8.0,1.0,
105,23,45,1,1,2.0,3.0,2.0,15.0
105,23,45,6,2,0.0,,2.0,0.0
105,23,45,8,2,0.0,,2.0,
105,25,13,1,2,0.0,,1.0,0.8
105,25,13,4,1,0.0,,1.0,5.0
105,25,13,8,1,0.0,,1.0,
105,25,23,1,1,0.0,,1.0,18.0
105,25,23,3,1,0.0,,1.0,6.0
105,25,33,1,2,1.0,0.0,2.0,2.0
105,25,33,6,2,1.0,0.0,2.0,0.0
105,25,33,8,2,1.0,0.0,2.0,
105,25,39,3,1,3.0,0.0,1.0,2.0
105,25,39,6,4,7.0,0.0,,1.0
105,25,39,8,1,4.0,0.0,1.0,
105,25,49,1,3,4.0,5.0,,2.0
105,25,49,3,3,4.0,8.0,,1.0
105,25,49,4,3,4.0,5.0,,1.0
105,25,49,8,3,4.0,8.0,,
105,27,05,1,2,0.0,,2.0,15.0
105,27,05,4,2,0.0,,2.0,0.0
105,27,05,6,2,0.0,,2.0,0.0
105,27,05,7,2,0.0,,2.0,0.0
105,27,05,8,2,1.0,0.0,2.0,
105,27,15,1,1,2.0,8.0,2.0,6.0
105,27,15,3,2,1.0,8.0,2.0,0.2
105,27,15,4,1,2.0,8.0,2.0,0.0
105,27,15,5,1,2.0,8.0,2.0,0.0
105,27,15,6,1,2.0,8.0,2.0,0.0
105,27,15,8,1,2.0,8.0,2.0,
105,27,25,1,1,2.0,0.0,2.0,3.0
105,27,25,3,1,2.0,0.0,2.0,0.0
105,27,25,4,2,1.0,0.0,2.0,0.0
105,27,25,5,1,2.0,0.0,2.0,0.0
105,27,25,6,1,2.0,0.0,2.0,0.0
105,27,25,7,2,1.0,0.0,1.0,0.0
105,27,25,8,1,2.0,0.0,2.0,
105,27,33,1,1,0.0,,1.0,1.0
105,27,33,4,2,0.0,,1.0,0.0
105,27,33,5,2,0.0,,2.0,0.0
105,27,33,6,1,0.0,,2.0,0.0
105,27,33,8,1,0.0,,2.0,
105,27,45,1,1,0.0,,2.0,3.0
105,27,45,3,1,0.0,,2.0,3.0
105,27,45,4,2,0.0,,2.0,0.0
105,27,45,5,1,2.0,0.0,2.0,0.0
105,27,45,6,1,2.0,0.0,2.0,0.0
105,27,45,7,2,1.0,0.0,1.0,0.0
105,27,45,8,1,2.0,0.0,2.0,
105,27,53,1,2,0.0,,2.0,3.0
105,27,53,3,2,0.0,,2.0,3.0
105,27,53,4,1,2.0,0.0,2.0,0.0
105,27,53,5,1,2.0,0.0,2.0,0.0
105,27,53,6,1,2.0,0.0,2.0,0.0
105,27,53,8,3,8.0,0.0,,
106,01,17,1,9,2.0,4.0,2.0,3.0
106,01,17,3,9,2.0,4.0,2.0,1.0
106,01,17,4,9,2.0,4.0,2.0,1.0
106,01,17,5,2,0.0,,1.0,1.0
106,01,17,6,2,3.0,4.0,1.0,1.0
106,01,17,8,2,4.0,3.0,2.0,
106,03,05,1,2,1.0,0.0,1.0,4.0
106,03,05,4,2,1.0,0.0,1.0,4.0
106,03,05,6,3,4.0,0.0,,0.0
106,03,05,8,5,2.0,1.0,1.0,
106,03,09,1,1,2.0,6.0,2.0,12.0
106,03,09,3,1,2.0,5.0,2.0,0.0
106,03,09,4,1,2.0,0.0,2.0,12.0
106,03,09,6,3,5.0,6.0,,0.0
106,03,09,8,2,3.0,5.0,2.0,
106,03,17,1,1,2.0,4.0,1.0,3.0
106,03,17,8,2,7.0,0.0,2.0,
106,03,21,1,2,1.0,6.0,2.0,7.0
106,03,21,3,2,1.0,0.0,2.0,7.0
106,03,21,4,2,1.0,0.0,2.0,7.0
106,03,21,6,2,5.0,6.0,2.0,7.0
106,03,21,8,5,2.0,1.0,2.0,
106,03,27,1,2,1.0,0.0,2.0,2.0
106,03,27,3,2,5.0,0.0,2.0,2.0
106,03,27,6,5,2.0,8.0,2.0,2.0
106,03,27,8,5,2.0,8.0,2.0,
106,05,03,1,1,2.0,0.0,2.0,10.0
106,05,03,3,6,7.0,8.0,,-1.0
106,05,03,6,6,7.0,8.0,,-1.0
106,05,03,8,6,7.0,8.0,,
106,05,09,1,1,2.0,3.0,1.0,6.0
106,05,09,6,6,7.0,8.0,,-1.0
106,05,09,8,6,7.0,8.0,,
106,05,17,1,1,2.0,6.0,1.0,7.0
106,05,17,6,8,6.0,7.0,,-1.0
106,05,17,8,6,7.0,8.0,,
106,05,23,1,1,3.0,6.0,1.0,1.5
106,05,23,3,1,2.0,6.0,2.0,1.5
106,05,23,6,2,5.0,6.0,2.0,-1.0
106,05,23,8,6,7.0,8.0,,
106,05,29,1,1,4.0,5.0,2.0,3.0
106,05,29,3,6,2.0,0.0,2.0,-1.0
106,05,29,6,6,7.0,0.0,,-1.0
106,05,29,8,7,6.0,0.0,,
106,05,37,1,1,2.0,6.0,2.0,6.0
106,05,37,3,1,3.0,2.0,2.0,6.0
106,05,37,4,2,8.0,6.0,1.0,6.0
106,05,37,6,1,7.0,8.0,2.0,-1.0
106,05,37,8,6,7.0,8.0,,
106,05,41,1,1,2.0,6.0,2.0,1.0
106,05,41,3,1,2.0,6.0,2.0,3.0
106,05,41,4,1,2.0,6.0,1.0,3.0
106,05,41,6,1,2.0,6.0,2.0,3.0
106,05,41,8,1,2.0,6.0,2.0,
106,07,15,1,1,2.0,0.0,2.0,2.0
106,07,15,4,2,0.0,,2.0,2.0
106,07,15,7,2,0.0,,2.0,1.0
106,07,15,8,5,3.0,4.0,,
106,07,29,1,1,2.0,0.0,2.0,2.0
106,07,29,3,1,2.0,0.0,2.0,0.0
106,07,29,4,2,0.0,,2.0,5.0
106,07,29,8,5,8.0,3.0,,
106,07,37,1,5,2.0,1.0,2.0,3.0
106,07,37,4,2,0.0,,2.0,6.0
106,07,37,8,3,2.0,1.0,2.0,
106,07,41,1,1,2.0,5.0,2.0,2.0
106,07,41,4,2,1.0,8.0,2.0,6.0
106,07,41,8,5,8.0,3.0,,
106,07,45,1,1,2.0,0.0,2.0,1.0
106,07,45,4,2,0.0,,2.0,6.0
106,07,45,8,1,2.0,3.0,2.0,
106,07,53,1,5,2.0,1.0,2.0,10.0
106,07,53,4,2,0.0,,2.0,10.0
106,07,53,8,3,2.0,1.0,2.0,
106,08,03,1,2,4.0,1.0,2.0,3.0
106,08,03,2,2,4.0,1.0,2.0,3.0
106,08,03,3,2,4.0,6.0,2.0,0.0
106,08,03,4,2,4.0,1.0,2.0,0.0
106,08,03,6,2,4.0,1.0,2.0,0.0
106,08,03,8,2,4.0,1.0,2.0,
106,08,07,1,2,4.0,3.0,2.0,2.0
106,08,07,2,2,4.0,3.0,2.0,2.0
